Startup,One liner,Website,Country,LinkedIn,Founded,Funding $m,Funding stage,Climate category,Climate subcategories,Stage,Investors,Team 1 Name,Team 1 LinkedIn,Team 1 Title,Team 2 Name,Team 2 LinkedIn,Team 2 Title,Team 3 Name,Team 3 LinkedIn,Team 3 Title,Team 4 Name,Team 4 LinkedIn,Team 4 Title,Team 5 Name,Team 5 LinkedIn,Team 5 Title,Team 6 Name,Team 6 LinkedIn,Team 6 Title
Baaz Bikes,"Full-stack electric vehicle ecosystem for gig workers, focused on last-mile delivery.",https://www.baaz.bike,India,https://www.linkedin.com/company/baazbikes/,2019,10.8,Series A,Transportation,"EV charging / fleet management, Micromobility",Scale-up,"Rakuten Capital, Kalaari Capital",Anubhav Sharma,https://www.linkedin.com/in/anubhavsharma-baaz/,Co-founder and CEO,Shashank Randev,https://www.linkedin.com/in/shubham-srivastava-4ab945128/,Co-founder,,,,,,,,,,,,
Ambee,"Hyperlocal air quality modelling using multiple sources including satellite imagery from NASA and ESA, and proprietary IoT network data.",https://www.getambee.com,India,https://www.linkedin.com/company/getambee/,2017,2,Pre-Seed,Climate management,Earth observation,,"ShiftAltCap, Ideaspring Capital, RiSo Capital",Madhusudhan A,https://www.linkedin.com/in/maddyanand,CTO,,,,,,,,,,,,,,,
GoodMylk,"Providing affordable, plant-based milk and dairy alternatives in India.",https://goodmylk.in,India,https://www.linkedin.com/company/one-good/?originalSubdomain=in,2015,1.4,Pre-Seed,Food & land use,Alternative foods,Scale-up,"Sustainable Food Ventures (SFV), VegInvest",Radhika Datt,,CFO,Abhay Rangan,,Co-founder and CEO,,,,,,,,,,,,
SatSure,Spacetech startup that leverages satellite imagery and artificial intelligence to deliver insights across various sectors.,https://www.satsure.co,India,https://www.linkedin.com/company/satsure/?trk=recent-update_content&originalSubdomain=in#updates,2017,20,Series A,Climate management,"Earth observation, Crop yield",Launch,"Baring Private Equity Partners, ADB Ventures, Promus Ventures",Rashmit Singh,https://www.linkedin.com/in/rsukhmani/?originalSubdomain=in,Co-founder and CTO,Prateep Basu,https://www.linkedin.com/in/prateepbasu/,Co-founder and CEO,,,,,,,,,,,,
Praan,"Low-cost, filterless air purification systems aimed at reducing urban air pollution and improving air quality in large outdoor and industrial spaces.",https://praan.io,India,https://www.linkedin.com/company/praancompany/about/,2017,1.56,Seed,Industry,"Consumer products, Other",Prototype,"Paradigm Shift Capital, Avaana Capital, Better Capital",Angad Daryani,https://www.linkedin.com/in/angaddaryani/,Founder and CEO,,,,,,,,,,,,,,,
Climeto,Provides environmental and sustainability consultancy to help businesses mitigate their environmental footprint and achieve sustainable growth.,https://climeto.com,India,https://www.linkedin.com/company/climeto/,2022,,Angel,Climate management,Emissions reporting,,,Devesh Malu,https://www.linkedin.com/in/deveshmalu/,Founder and Director,Keshav Bhootda,https://www.linkedin.com/in/keshavbhootda/,Founder and Director,,,,,,,,,,,,
Niqo Robotics,Autonomous robots to improve crop yield and reduce labor costs in agriculture.,https://niqorobotics.com,India,https://www.linkedin.com/company/niqorobotics/,2015,22,Series B,Food & land use,Crop yield,Launch,"Omnivore, Fulcrum Global Capital, Bidra Innovation Ventures",Arha Padman,https://www.linkedin.com/in/arhapadman/,CMO,Vishnu B Nagendra Rao,https://www.linkedin.com/in/vishnu-b-nagendra-rao-8403189a/,COO,,,,,,,,,,,,
EMO Energy,"Battery-powered solutions for high energy, high power applications, focusing on fast charge battery packs.",https://www.emoenergy.in,India,https://www.linkedin.com/company/emoenergy/,2022,8,Series A,Energy,Batteries,Pilot,"100X.VC, Subhkam Ventures, Transition VC",Rahul Patel,https://www.linkedin.com/in/rahul-patel-35091122/,Co-founder,Sheetanshu Tyagi,https://www.linkedin.com/in/sheetanshu-tyagi-90594187/,Co-founder and CEO,,,,,,,,,,,,
Bombay Cheese Company,Making cheese that is free of cholesterol and cruelty and full of taste and flavour.,https://bombaycheesecompany.com,India,https://www.linkedin.com/company/bombay-cheese-company/,2019,,Pre-Seed,Food & land use,Alternative foods,,,Anuradha Sawhney,https://www.linkedin.com/in/anuradha-sawhney-591a354/,Founder,,,,,,,,,,,,,,,
Smart Joules,Eliminating energy waste through innovations in continuous energy optimization.,https://smartjoules.co.in,India,https://www.linkedin.com/company/smart-joules-pvt-ltd-/,2015,8,Series A,Built environment,Energy efficiency,Scale-up,"Raintree Family Office, ADB Ventures",Sidhartha P Gupta,https://www.linkedin.com/in/sidhartha-p-gupta-6b210b5/?originalSubdomain=in,Director and CFO,Arjun P Gupta,https://www.linkedin.com/in/arjun-p-gupta-5746ab10/,Founder and CEO,,,,,,,,,,,,
AquaConnect,"A full-stack aquaculture technology platform with embedded fintech, supported by a phygital distribution network.",https://aquaconnect.blue,India,https://www.linkedin.com/company/aquaconnect1/,2017,24,Series B,Food & land use,Other,Scale-up,"S2G Ventures, Omnivore, Lok Capital",Rajamanohar Somasundaram,https://www.linkedin.com/in/rajamanohar/,Founder and CEO,,,,,,,,,,,,,,,
Loom Solar,Manufacturer and distributor of solar panels and lithium batteries for residential and commercial use.,https://www.loomsolar.com,India,https://www.linkedin.com/company/loom-solar/,2018,2,Seed,Energy,"Solar, Energy storage",Pilot,"British International Investment, FMO Entrepreneurial Development, IFC(American TV channel)",Amol Anand,https://www.linkedin.com/in/amolanand-loomsolar/?originalsubdomain=in,Co- Founder,,,,,,,,,,,,,,,
Blue Planet Environmental Solutions,Sustainable and socially inclusive end-to-end environmental solutions.,https://blueplanet.asia,India,https://www.linkedin.com/company/blue-planet-environmental-solutions/,2017,40,Series B,Industry,Waste & recycling,Scale-up,"Kaizenvest, IFU,  Bintang Capital Partners",Madhujeet Chimni,https://www.linkedin.com/in/madhujeet-chimni-6a79611/,Co-Founder and Chairman,Prashant Singh,https://www.linkedin.com/in/prashantsingh4/,Co-Founder & CEO,Bharadwaj Chivukula,https://www.linkedin.com/in/cvbharadwaj/,Co-Founder,,,,,,,,,
BluSmart Mobility,Offering all-electric ride-hailing services for sustainable urban mobility.,https://blu-smart.com,India,https://www.linkedin.com/company/blu-smart-mobility/,2019,90,Series B,Transportation,EV charging / fleet management,Scale-up,"BP Ventures, Green Frontier Capital, 100Unicorns, Survam Partners, Mayfield India Fund",Punit K Goyal,https://www.linkedin.com/in/punitg/?originalSubdomain=in,Co-founder,Anmol Jaggi,https://www.linkedin.com/in/anmoljaggi/,Co-founder,,,,,,,,,,,,
NEXTera Foods,Where plant-based dreams come true.,https://www.linkedin.com,India,https://www.linkedin.com/company/nextera-foods/,2024,,Pre-Seed,Food & land use,Alternative foods,R&D,,Indra Thiyagarajan,https://www.linkedin.com/in/indra-thiyagarajan17/,Founder,,,,,,,,,,,,,,,
PlantMade,Offers a variety of plant-based dairy and meat alternatives.,https://www.plantmade.in,India,https://www.linkedin.com/company/plantmade/,2020,,Pre-Seed,Food & land use,Alternative foods,Scale-up,Hyper Accelerator,Prakarshi Pulkit,https://www.linkedin.com/in/prakarshi-pulkit/?originalSubdomain=in,Founder,,,,,,,,,,,,,,,
ChargeUp,Develops electric vehicle charging infrastructure for seamless and convenient mobility.,https://echargeup.com,India,https://www.linkedin.com/company/chargeup-solutions-pvt-ltd/,2019,9.56,Pre-Series A,Transportation,Micromobility,Scale-up,"Jiraaf, Capital A, Anicut Capital",Varun Goenka,https://www.linkedin.com/in/varun-goenka-a9755153/,Co-Founder and CEO,Satish Mittal,https://www.linkedin.com/in/satish-mittal/,Co-Founder and Chief Digital Officer,Ankur Madan,https://www.linkedin.com/in/ankurmadan/,Co-Founder and COO,,,,,,,,,
OffGrid,Offgrid helps people switch to solar online (India).,https://getoffgrid.energy,India,,2024,,Pre-Seed,Energy,Solar,R&D,,Sourav Sanyal,,CEO,Ajay Kumar,,CTO,,,,,,,,,,,,
Scimplify,"Science-first platform designed for sourcing and manufacturing specialty chemicals for pharmaceuticals, personal care, and agrochemical industries.",https://www.scimplify.com,India,https://www.linkedin.com/company/scimplify/?originalSubdomain=in,2023,50,Series B,Industry,Manufacturing,Launch,"3one4 Capital, Omnivore, Accel, Bertelsmann India Investments",Salil Srivastava,https://www.linkedin.com/in/salil-srivastava-29324237/,Co-Founder and CEO,Sachin Santhosh,https://www.linkedin.com/in/sachin-santhosh-36223421/,Co-Founder,,,,,,,,,,,,
EMotorad,"Manufactures premium electric bicycles (e-bikes) for adventure seekers, daily commuters, and casual riders.",https://www.emotorad.com,India,https://www.linkedin.com/company/emotorad/?originalSubdomain=in,2020,24,Series B,Transportation,Micromobility,Scale-up,"Panthera Growth Partners, Green Frontier Capital",Sumedh Battewar,https://www.linkedin.com/in/sumedh-battewar-39a647147/,Co-founder and CBO,Aditya Oza,https://www.linkedin.com/in/ozaaditya/,CMO,,,,,,,,,,,,
Matter,"A technology company focusing on electric mobility solutions, including EV batteries and smart charging infrastructure.",https://www.matter.in,India,https://www.linkedin.com/company/matterindia/?originalSubdomain=in,2019,34.9,Series B,Transportation,"Batteries, EV charging / fleet management, Autos",Pilot,"Climate Angels, Saud Bahwan Group",Vinten Diwakar,https://www.linkedin.com/in/vinten-diwakar-472a216/,CTO,,,,,,,,,,,,,,,
Soilsens,"Offers affordable tools to analyze soil and optimize water, fertilizer, and pesticide use, boosting crop productivity and farmer income.",https://www.soilsens.com,India,https://www.linkedin.com/company/soilsens/,2017,,Seed,Food & land use,"Crop yield, Fertilizer / pesticides",Pilot,"Foundation for Innovation and Technology Transfer (FITT), Social Alpha (India), Zone Startups India, JioGenNext",Rajul Patkar,https://www.linkedin.com/in/rajulpatkar/,Co-Founder,Valipe Ramgopal Rao,https://www.linkedin.com/in/ramgopalrao/,Co-Founder,Maryam Baghini,https://www.linkedin.com/in/maryam-shojaei-baghini-04697b13/,Co-Founder and CEO,,,,,,,,,
Novolutions Food (Just Dig In),"Transforming agricultural waste into nutritious, sustainable food products.",http://www.justdigin.in,India,https://www.linkedin.com/showcase/just-dig-in/about/,2017,,Pre-Seed,Food & land use,Alternative foods,Prototype,,Somesh Behera,https://www.linkedin.com/in/somesh-behera-40776b77/,,,,,,,,,,,,,,,,
LOHUM,"Producer of sustainable energy transition materials through battery recycling, repurposing, and low-carbon refining.",https://www.lohum.com,India,https://www.linkedin.com/company/lohum/,2018,70,Series B,Energy,"Batteries, Waste & recycling",Scale-up,"Cactus Venture Partners, Singularity Growth, Baring Private Equity Partners, Venture East",Justin Lemmon,https://www.linkedin.com/in/justin-lemmon-b685a8/,Co-founder,Rajat Verma,https://www.linkedin.com/in/rajat-verma-751773/,Founder and CEO,,,,,,,,,,,,
Zyngo EV,Provides electric vehicle logistics for sustainable delivery.,https://zyngo.co.in,India,https://www.linkedin.com/company/zyngoofficial/,2019,5,Seed,Transportation,"EV charging / fleet management, Batteries",R&D,"Startup Haryana, Delta Corp Holdings, LC Nueva AIF",Prateek Rao,https://www.linkedin.com/in/prateek-rao-6a939084/,Co-Founder and CEO,,,,,,,,,,,,,,,
FreshBus,Electric bus service offering sustainable public transit solutions.,https://www.freshbus.com,India,https://www.linkedin.com/company/freshbus_india/,2019,4,Seed,Transportation,"Autos, EV charging / fleet management",Pilot,"Maniv, Alteria Capital, Riverwalk Holdings, Shell Ventures",Sudhakar Chirra,https://www.linkedin.com/in/sudhakarchirra/,Founder,,,,,,,,,,,,,,,
Agrizy,A tech first platform to bridge the processed agri supply chain.,https://agrizy.in,India,https://www.linkedin.com/company/agrizy/,2021,14,Series A,Food & land use,Other,Launch,"Omnivore, Vivriti Capital",Saket C.,https://www.linkedin.com/in/saket-c-9b03b716/,Co-founder,,,,,,,,,,,,,,,
GoodDOT,Plant-based meat brand offering affordable and sustainable protein options.,https://gooddot.in,India,https://www.linkedin.com/company/good-dot/,2016,6.5,Series A,Food & land use,Alternative foods,Scale-up,"Sixth Sense Ventures, RCM Business",Abhishek Sinha,https://www.linkedin.com/in/abhishek-sinha-53a3aa160/?originalSubdomain=in,Co-founder & CEO,,,,,,,,,,,,,,,
Ossus Biorenewables,"Designing intelligent electroactive microbial communities to produce on-demand, on-site green hydrogen from wastewater.",https://www.ossusbio.com,India,https://www.linkedin.com/company/ossus-biorenewables/,2017,2.4,Seed,"Energy, Industry","Hydrogen, Wastewater",Prototype,"Shell E4, Imagine H2O",Kamar Suhail Basha,https://www.linkedin.com/in/kamarsuhail/,CTO,Suruchi Rao,https://www.linkedin.com/in/suruchirao/,Co-founder and CEO,,,,,,,,,,,,
Indi Energy,Developing sodium-ion batteries for energy storage.,https://indienergy.in,India,https://www.linkedin.com/company/indienergy/,2019,1.6,Seed,Energy,Energy storage,Launch,Mumbai Angels,Asit Sahoo,https://www.linkedin.com/in/dr-asit-sahoo-72125317b/,Co-founder,Akash Soni,https://www.linkedin.com/in/akash-soni-a846b065/,Co-founder and CEO,,,,,,,,,,,,
DeHaat,Agritech platform that provides end-to-end solutions and services to the farming community in India.,https://agrevolution.in,India,https://www.linkedin.com/company/dehaat/,2012,222,Series C and Beyond,Food & land use,Other,Scale-up,"pi Ventures, Omnivore, AgFunder",Shashank Kumar,https://www.linkedin.com/in/shashank-kumar-798b258/?originalSubdomain=in,Co-founder and CEO,Amrendra Singh,https://www.linkedin.com/in/amrendra-singh-64922436/?originalSubdomain=in,Co-founder and Director,,,,,,,,,,,,
So Good,Indian company offering a wide range of plant-based beverages and dairy alternatives.,https://lifehealthfoods.co.in,India,,2003,,Pre-Seed,Food & land use,Alternative foods,,,Rakesh Kanther,https://www.linkedin.com/in/rakesh-kanther-62b41a33/,,,,,,,,,,,,,,,,
Vayujal Technologies,Atmospheric water generators are solar-powered generators that use humidity from the air and don't require feed water and are energy-efficient water treatment options for commercial purposes.,https://www.vayujal.com,India,https://www.linkedin.com/company/vayujal-technologies-private-limited/,2017,0.12,Seed,Industry,Water,Pilot,"Engineers India, IIT Madras Incubation Cell",Ramesh Kumar Soni,https://www.linkedin.com/in/ddkvrs/,Co-founder and CEO,Ankit Nagar,https://www.linkedin.com/in/ankitnr/,Co-Founder and Director,Thalappil Pradeep,,Co-Founder,,,,,,,,,
Ecoprotein,Using insects for waste management and as a sustainable alternative protein food and feed production.,https://ecoprotein.godaddysites.com,India,https://www.linkedin.com/company/ecoproteinbio/,2021,,Pre-Seed,Food & land use,"Livestock, Alternative foods",R&D,,Gowtham Kudari,https://www.linkedin.com/in/subramanya-t-j-1386a8163/,Co-Founder,Subramanya T J,https://www.linkedin.com/in/subramanya-t-j-1386a8163/,Co-Founder,,,,,,,,,,,,
Tan90 Thermal Solutions,"Provides innovative, energy-efficient thermal management solutions to help businesses transport perishables in a cost-effective and sustainable manner.",https://tan90thermal.com,India,https://www.linkedin.com/company/tan90thermal/?originalSubdomain=in,2019,3.6,Series A,Industry,Packaging,Launch,"Blue Avsha Capital, Capital A, NABVentures, 3i Partners",Soumalya Mukherjee,https://www.linkedin.com/in/soumalya-mukherjee-50b11553/?originalSubdomain=in,Co-founder,Shiv Sharma,https://www.linkedin.com/in/shivsharmaiitan90/,Co-founder,,,,,,,,,,,,
goEgo,A company offering smart electric vehicle charging solutions.,https://www.goegonetwork.com,India,https://www.linkedin.com/company/goegonetwork/,2019,10,Series A,Energy,EV charging / fleet management,Scale-up,Aisha Ventures,Pravin Kumar,https://www.linkedin.com/in/pravin-kumar-b391552/,Co Founder,,,,,,,,,,,,,,,
Fyn,"Pedal-assisted, solar, and electric vehicles for logistics and passenger movements.",https://www.fynmobility.com,India,https://www.linkedin.com/company/fynmobility/,2013,3.07,Series A,Transportation,"EV charging / fleet management, Micromobility",Launch,"Inflection Point Venture, GAIL, IIT Madras Incubation Cell",Manu Iyer,https://www.linkedin.com/in/manuiyer/,Co-Founder and CSO,Visakh Sasikumar,https://www.linkedin.com/in/visakh-sasikumar/,Co-Founder and CEO,,,,,,,,,,,,
Sustein,Plant-based meat with mushrooms and microalgae.,,India,,2022,,,Food & land use,Alternative foods,Idea,,Dinesh Kumar,,Cofounder,,,,,,,,,,,,,,,
Only Earth,Sustainable startup focused on eco-friendly products and solutions to reduce environmental impact.,https://myonlyearth.com,India,https://www.linkedin.com/company/only-earth/,2020,,Pre-Seed,Food & land use,Alternative foods,,,Kunal Mutha,https://www.linkedin.com/in/kunal-mutha-3a094722/?originalsubdomain=in,Founder & Managing Director,,,,,,,,,,,,,,,
ElectricPe,"EV charging aggregation platform that offers a B2C app allowing users to identify, access, and pay for EV charging points.",https://electricpe.com,India,https://www.linkedin.com/company/electricpe/,2021,8,Seed,Transportation,EV charging / fleet management,Launch,"Blume Ventures, Green Frontier Capital, Micelio Fund",Avinash Sharma,https://www.linkedin.com/in/avinash760/,Co-founder and CEO,Raghav Rohila,https://www.linkedin.com/in/raghavrohila/,Co-founder and CPO,,,,,,,,,,,,
Rethink Bio,Biotech startup pioneering sustainable agricultural and food production technologies.,https://www.rethinkbio.in,India,https://www.linkedin.com/company/rethinkbio/?originalSubdomain=in,2020,,Pre-Seed,Food & land use,Alternative foods,,Illumina Accelerator,Mangesh K,https://www.linkedin.com/in/mangeshkhadase/,Founder and CEO,,,,,,,,,,,,,,,
Zypp Electric,Tech-enabled EV-as-a-Service platform aiming to revolutionize last-mile delivery with zero-emission electric scooters and cargo vehicles.,https://zypp.app,India,https://www.linkedin.com/company/zyppelectric/,2017,76.5,Series C and Beyond,Transportation,EV charging / fleet management,Scale-up,"Goodyear Ventures, 9Unicorns, TSM Ventures, ENEOS Group",Rashi Agarwal,https://www.linkedin.com/in/flauntrashi/,Co-founder and CBO,,,,,,,,,,,,,,,
Maximl Labs,Industrial AI platform for deskless workers in process industries with mobile-first solutions that are customization-friendly and scalable.,https://maximl.com,India,https://www.linkedin.com/company/maximl/,2017,1.57,Seed,Industry,Manufacturing,Launch,"Axilor Ventures, Shell E4, Nexus Venture Partners, IIT Madras Incubation Cell, Bharat Petroleum Corporation",Manish Arora,https://www.linkedin.com/in/manish-arora-maximl/,Co-Founder and COO,Ajaykrishnan Jayagopal,https://www.linkedin.com/in/ajaykrishnan33/,Co-Founder and VP Engineering,Pankaj Pawan,https://www.linkedin.com/in/pankajpawan5/,Co-Founder and CEO,Samir Otiv,https://www.linkedin.com/in/samirotiv/,Co-Founder and CTO,,,,,,
IgrenEnergi,Provides advanced battery management and energy storage solutions for electric vehicles and other applications.,https://igrenenergi.com,India,https://www.linkedin.com/company/igrenenergi/,2013,1.52,Pre-Seed,Energy,"DERs - Distributed energy resources, Energy storage",Pilot,"Broadband Tower K.K, GiTV, Shell E4",Jiten Apte Ph.D,https://www.linkedin.com/in/jitenapte/,CEO and Co-Founder,,,,,,,,,,,,,,,
ProMeat,Developing plant-based meat alternatives for a sustainable future.,https://www.promeat.in,India,https://www.linkedin.com/company/promeat/,2021,,Pre-Seed,Food & land use,Alternative foods,Scale-up,Youth Co:Lab,Debabrata Das,https://www.linkedin.com/in/debabrata1997das/?originalSubdomain=in,Co-founder and CEO,Pranjuli Garg,https://www.linkedin.com/in/pranjuli-garg/,Co-founder and COO,,,,,,,,,,,,
Living Greens Organics,Convert rooftops into organic farms where safe and fresh veg can be grown.,https://thelivinggreens.com,India,https://www.linkedin.com/company/thelivinggreensorganics/,2013,14.3,Seed,Food & land use,Indoor farming,Launch,WAVE Equity Partners,Prateek Tiwari,https://www.linkedin.com/in/prateek-tiwari-a7155510/,Founder and CEO,,,,,,,,,,,,,,,
IndiMyco,Biomanufacturing of food flavors using cell-free molecular farming.,,India,,2023,,Pre-Seed,Food & land use,Alternative foods,R&D,,"Hitesh Rafalia, PhD",https://www.linkedin.com/in/hitesh-rafalia-phd-5417a115,Founder,,,,,,,,,,,,,,,
Eeki Foods,Hydroponic farming systems to produce residue-free vegetables using water and space-efficient technologies.,https://eeki.com,India,https://www.linkedin.com/company/eekifoods/,2018,8.5,Series A,Food & land use,Indoor farming,Scale-up,"Avaana Capital, General Catalyst",Abhay Singh,https://www.linkedin.com/in/abhay-singh-18704686/,Co-founder and CEO,,,,,,,,,,,,,,,
Grabenord,D2C brand selling plant-based butter and cheese.,https://grabenord.com,India,https://www.linkedin.com/company/grabenord/,2022,,Pre-Seed,Food & land use,Alternative foods,,Gruhas Gusto,Viraj Bhatt,,"Co-Founder, Operations Head",Shalin Talajia,,CEO,Nirav Mevada,,"Co Founder, COO",,,,,,,,,
Fyllo,"AI-powered precision agriculture solutions to enhance crop yield and quality, while reducing resource usage and environmental impact.",https://fyllo.in,India,https://www.linkedin.com/company/fyllo,2019,6,Series A,Food & land use,Crop yield,Scale-up,"India Quotient, SIDBI Ventures",Sudhanshu Rai,https://www.linkedin.com/in/sudhanshu-rai-4b2b9520/,Co-founder,Sumit Sheoran,https://www.linkedin.com/in/sumit-sheoran/,Co-founder,,,,,,,,,,,,
Bounce Infinity,A company offering electric scooters with battery swapping and fleet management services.,https://bounceinfinity.com,India,https://www.linkedin.com/company/bounceinfinity/,2014,223,Series C and Beyond,Transportation,"Micromobility, EV charging / fleet management",Launch,"Chiratae Ventures, Peak XV Partners (Sequoia Capital India)",Anil G,https://www.linkedin.com/in/anil-g-02242752/,Co-Founder and COO,,,,,,,,,,,,,,,
Plantish Foods,Innovating plant-based seafood alternatives to protect marine life.,http://www.plantishfoods.com,India,https://www.linkedin.com/company/plantishfoods/,2020,,Pre-Seed,Food & land use,Alternative foods,R&D,"Humane Entrepreneurship Program, Atal Innovation Mission",Neha Duhan,https://www.linkedin.com/in/sushil-kumar-gehlot/,R&D Lead,Ishu Bindal,https://www.linkedin.com/in/ishubindal/,Co-founder & CEO,Sushil Kumar Gehlot,https://www.linkedin.com/in/sushil-kumar-gehlot/,Co-founder & COO,,,,,,,,,
Soft Spot Foods,Crafting vegan cheeses that deliver authentic taste and texture.,https://softspotfoods.com,India,https://www.linkedin.com/company/soft-spot-foods/,2019,,,Food & land use,Alternative foods,Scale-up,,Anushi Patel,https://www.linkedin.com/in/anushi-patel-32490747/?originalSubdomain=in,Founder,,,,,,,,,,,,,,,
Bolt.Earth,Provides smart EV charging solutions and software to enhance the electric vehicle ecosystem.,https://bolt.earth,India,https://www.linkedin.com/company/boltearth/,2017,24.6,Series B,Transportation,EV charging / fleet management,Scale-up,"Union Square Ventures, Horizons Ventures",Raghav Bharadwaj,https://www.linkedin.com/in/raghav-bharadwaj-88a60917/,COO,Mohit Yadav,https://www.linkedin.com/in/mohit-yadv/?originalSubdomain=in,Co-founder and CTO,Jyotiranjan Harichandan,https://www.linkedin.com/in/jyotiranjanh/?originalSubdomain=in,Co-founder and CEO,,,,,,,,,
KleverMeat,Developing cultivated meat solutions for a sustainable food future.,https://klevermeat.com,India,https://www.linkedin.com/company/klever-meat/,2021,1,Pre-Seed,Food & land use,Alternative foods,Idea,Better Bite Ventures,Nithin Shetty,https://www.linkedin.com/in/nithin-shetty/,,Swapnil Kamble,,,,,,,,,,,,,,
Sirohi,"Bringing affordable luxe-sustainable home and lifestyle products, made by Indian artisans,to globally conscious buyers.",http://www.sirohi.org,India,https://www.linkedin.com/company/skilled-samaritan-foundation/,2019,,Pre-Seed,Built environment,Consumer products,Prototype,Upaya Social Ventures,Gauri Malik,https://www.linkedin.com/in/gaurigopal/,Founder,,,,,,,,,,,,,,,
Phyx44,Using precision fermentation to create dairy-identical proteins.,https://www.phyx44.com,India,https://www.linkedin.com/company/phyx44/,2021,4.7,Seed,Food & land use,Alternative foods,R&D,"Better Bite Ventures, Big Idea Ventures, Sandhya Sriram, Ahimsa VC (India)",Bharat Bakaraju,https://www.linkedin.com/in/bharath-bakaraju-94814015/,CEO and Founder,,,,,,,,,,,,,,,
Magenta Mobility,Offers electric mobility solutions for a sustainable transportation future.,https://www.magentamobility.com,India,https://www.linkedin.com/company/magentamobility/?originalSubdomain=in,2018,56.2,Series B,"Transportation, Energy","EV charging / fleet management, Micromobility",Scale-up,"BP Ventures, Morgan Stanley, LetsVenture",Aravind Kumar,https://www.linkedin.com/in/aravind-kumar-s-r-30833bb/,Chief Financial officer,Maxson Lewis,https://www.linkedin.com/in/maxsonlewis/,Co-Founder and CEO,Darry Dias,https://www.linkedin.com/in/dddias/,Co-Founder and Chief Product officer,,,,,,,,,
Impacto.eco,"Online marketplace that offers a variety of sustainable, ethically made products to help consumers reduce their carbon footprint.",https://impacto.eco,India,https://www.linkedin.com/company/impactoeco/,2022,,Seed,Industry,Consumer products,Pilot,,Shivang Singh,https://www.linkedin.com/in/shivangsingh98/,Founder and CEO,,,,,,,,,,,,,,,
Ather Energy,Electric two-wheelers designed to provide an eco-friendly ride with modern features.,https://www.atherenergy.com,India,https://www.linkedin.com/company/ather-energy/,2013,700,Series C and Beyond,Transportation,Micromobility,Scale-up,"National Investment and Infrastructure Fund (NIIF), Morgan Stanley, GIC, Herald Investment Management",Swapnil Jain,https://www.linkedin.com/in/swapnil-jain-431ba14b/,Co-Founder and CTO,Tarun Mehta,https://www.linkedin.com/in/tarunsmehta/,Co-Founder and CEO,Sohil Parekh,https://www.linkedin.com/in/sohil-parekh-09719716/,CFO,,,,,,,,,
Aereo,Provides solutions for conducting drone surveys and aerial data analytics.,https://aereo.io,India,https://www.linkedin.com/company/aereo-next-is-now/,2013,23,Series B,Climate management,Earth observation,Scale-up,"360 One, Navam Capital",Suhas Banshiwala,https://www.linkedin.com/in/suhas-banshiwala-5264ab60/,Co-founder and CTO,,,,,,,,,,,,,,,
Alt Mobility,Provides electric vehicle leasing and fleet management solutions to support the transition to sustainable transportation.,https://www.alt-mobility.com,India,https://www.linkedin.com/company/altmobility/,2021,6,Series A,Transportation,EV charging / fleet management,,"PitchRight Venture, Twynam,  Ev2 Ventures, LetsVenture, Shell Ventures, Beyond Capital Ventures",Anuj Gupta,https://www.linkedin.com/in/anujgupta2408/,Co-Founder and Chief Business Officer,Jayant Gupta,https://www.linkedin.com/in/jayantgupta88/,Co-Founder and Chief Commercial Officer,Dev Arora,https://www.linkedin.com/in/devarora/,Co-Founder and Chief Executive Officer,Harsh Dev Goyal,https://www.linkedin.com/in/harshdevgoyal/,Co-Founder and Chief Product Officer,Manas Arora,https://www.linkedin.com/in/manasdarora/,Co-Founder and CFO,,,
Newtrace,"Developer of innovative membraneless electrolyzers to enable affordable, wide-scale adoption of green hydrogen.",https://www.newtrace.io,India,https://www.linkedin.com/company/newtracetech/,2021,7,Seed,Energy,Hydrogen,Prototype,"Sequoia Capital India, Aavishkaar Capital, Speciale Invest, Micelio Fund, Peak XV Partners (Sequoia Capital India)",Prasanta Sarkar,https://www.linkedin.com/in/prasantasarkarin/,Co-founder and CEO,Rochan Sinha,https://www.linkedin.com/in/rochan-sinha/,Co-founder and CTO,,,,,,,,,,,,
Neuron Energy,"A manufacturer of lithium-ion batteries, catering to electric vehicles and energy storage systems.",https://www.neuronenergy.in,India,https://www.linkedin.com/company/neuron-energy/,2017,3,Series A,Transportation,Batteries,Launch,Capri Global Capital,Pratik Kamdar,,,,,,,,,,,,,,,,,
Fabheads Automation,Manufacturer of a composite 3D printer intended to automate printing in the composites fabrication sector.,https://www.fabheads.in,India,https://www.linkedin.com/company/fabheads-automation/,2015,3.08,Seed,Industry,Manufacturing,Launch,"Astir Ventures, FirstPort, IIT Madras Incubation Cell",Dhinesh Kanagaraj,https://www.linkedin.com/in/abhijeet-rathore/,Co-Founder and CTO,Abhijeet Rathore,https://www.linkedin.com/in/dhineshrk/,Co-Founder and CEO,,,,,,,,,,,,
The Green Meat (Greenovative Foods),Creating environmentally-friendly plant-based meat substitutes.,https://www.thegreenmeat.com,India,https://www.linkedin.com/company/thegreenmeat/?originalSubdomain=in,2021,,Pre-Seed,Food & land use,Alternative foods,,,Unnikrishnan PG,https://www.linkedin.com/in/unnikrishnanpg/,Co-founder & CEO,,,,,,,,,,,,,,,
